备用字段,节点,数量,行为,资源名称,资源品质,活动类型,活动上线日期,活动下线日期,限时资源上线日期,限时资源到期日期,资源类型,价值,资源截图,季度,年份1,月,价值高低,月份,文本 4,父记录
蓝品近战武器抽奖宝箱,2024 新年节点,2,造成6000伤害,武器抽奖宝箱,其他,活跃,2024/01/05,2024/01/12,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他武器抽奖宝箱,
钻石宝箱,2024 新年节点,1,累充50钻石,钻石抽奖盒,其他,付费,2024/01/06,2024/01/13,,,永久,25,image.png,2024年年1季度,2024年,2024年1月,,1,其他钻石抽奖盒,
橙品特效载具造型,2024 新年节点,1,累充140钻石,载具,橙品（S/SP）,付费,2024/01/06,2024/01/13,,,永久,500,image.png,2024年年1季度,2024年,2024年1月,局内--中低价值外显资源,1,橙品（S/SP）载具,
钻石宝箱,2024 新年节点,2,累充70钻石,钻石抽奖盒,其他,付费,2024/01/06,2024/01/13,,,永久,25,image.png,2024年年1季度,2024年,2024年1月,,1,其他钻石抽奖盒,
橙品角色造型,2024 新年节点,1,不放回抽奖,角色完整皮肤,橙品（S/SP）,付费,2024/01/08,2024/01/16,,,永久,2000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）角色完整皮肤,
橙品载具造型,2024 新年节点,1,不放回抽奖,载具,橙品（S/SP）,付费,2024/01/12,2024/01/26,,,永久,500,image.png,2024年年1季度,2024年,2024年1月,局内--中低价值外显资源,1,橙品（S/SP）载具,
红品近战武器造型,2024 新年节点,1,代币抽奖,近战武器皮肤,红品（S+）,付费,2024/01/15,2024/01/29,,,永久,2400,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,红品（S+）近战武器皮肤,
蓝品凝胶护盾造型,2024 新年节点,1,日产出道具5，25兑换,近战武器皮肤,蓝品（A）,活跃,2024/01/15,2024/01/23,,,永久,300,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,蓝品（A）近战武器皮肤,
金币宝箱,2024 新年节点,2,日产出道具5，1兑换,金币抽奖盒,其他,活跃,2024/01/15,2024/01/23,,,永久,0,image.png,2024年年1季度,2024年,2024年1月,,1,其他金币抽奖盒,
紫品角色造型抽奖宝箱,2024 新年节点,3,日产出道具5，15兑换,皮肤抽奖宝箱,其他,活跃,2024/01/15,2024/01/23,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他皮肤抽奖宝箱,
蓝品武器造型抽奖宝箱,2024 新年节点,3,日产出道具5，15兑换,武器抽奖宝箱,其他,活跃,2024/01/15,2024/01/23,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他武器抽奖宝箱,
造型套装24小时体验卡,2024 新年节点,1,登录1天,角色皮肤散件,橙品（S/SP）,活跃,2024/01/19,2024/01/31,2024/01/19,2024/01/19,限时,,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）角色皮肤散件,
橙品近战武器造型,2024 新年节点,1,代币抽奖,近战武器皮肤,橙品（S/SP）,付费,2024/01/19,2024/01/31,,,永久,500,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）近战武器皮肤,
限定抽奖券,2024 新年节点,3,登录1天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/01/20,2024/01/22,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（橙色）常驻3合1抽奖池--抽奖券,
枪皮抽奖宝箱,2024 新年节点,1,造成1000伤害,武器抽奖宝箱,其他,活跃,2024/01/20,2024/01/22,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他武器抽奖宝箱,
紫品近战武器造型,2024 新年节点,1,造成10000伤害,近战武器皮肤,紫品（A+）,活跃,2024/01/20,2024/01/22,,,永久,400,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,紫品（A+）近战武器皮肤,
造型抽奖宝箱,2024 新年节点,2,造成4000伤害,皮肤抽奖宝箱,其他,活跃,2024/01/20,2024/01/22,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他皮肤抽奖宝箱,
3天限时橙品武器造型,2024 新年节点,1,造成10000伤害,近战武器皮肤,橙品（S/SP）,活跃,2024/01/24,2024/01/29,,,限时,,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）近战武器皮肤,
钻石抽奖券,2024 新年节点,1,移动2000,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/24,2024/02/01,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
钻石抽奖券,2024 新年节点,1,Arvon玩2场,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/24,2024/02/01,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
钻石抽奖券,2024 新年节点,1,Kingfisher杀1,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/24,2024/02/01,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
钻石抽奖券,2024 新年节点,1,G36杀1,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/24,2024/02/01,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
钻石抽奖券,2024 新年节点,1,VSS杀1,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/24,2024/02/01,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
钻石抽奖券,2024 新年节点,1,移动10000m,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/24,2024/02/01,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
钻石抽奖券,2024 新年节点,1,移动20000m,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/24,2024/02/01,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
钻石抽奖券,2024 新年节点,2,造成4000伤害,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/24,2024/01/29,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
钻石抽奖券,2024 新年节点,3,移动5000,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/24,2024/02/01,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
限定抽奖券,2024 新年节点,5,登录1天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/01/24,2024/01/29,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（橙色）常驻3合1抽奖池--抽奖券,
限定抽奖券,2024 新年节点,5,登录2天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/01/24,2024/01/29,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（橙色）常驻3合1抽奖池--抽奖券,
复刻S橙品角色造型,2024 新年节点,1,代币抽奖,角色完整皮肤,橙品（S/SP）,付费,2024/01/24,2024/02/01,,,永久,2000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）角色完整皮肤,
S橙品角色动作,2024 新年节点,1,幸运转蛋，放回式抽奖,动作,橙品（S/SP）,付费,2024/01/24,2024/02/08,,,永久,500,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）动作,
A+紫品武器,2024 新年节点,1,幸运转蛋，放回式抽奖,枪械皮肤,紫品（A+）,付费,2024/01/24,2024/02/25,,,永久,1000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,紫品（A+）枪械皮肤,
A+紫品角色造型,2024 新年节点,1,幸运转蛋，放回式抽奖,角色完整皮肤,紫品（A+）,付费,2024/01/24,2024/02/25,,,永久,1000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,紫品（A+）角色完整皮肤,
紫品或橙品角色造型,2024 新年节点,1,点券购买水晶道具直接抽取随机一套未拥有S级造型（仅限一次）,角色完整皮肤,橙品（S/SP）,付费,2024/01/24,2024/02/01,,,永久,2000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）角色完整皮肤,
橙品特效背包,2024 新年节点,1,累充140钻石,背包,橙品（S/SP）,付费,2024/01/24,2024/02/06,,,永久,300,image.png,2024年年1季度,2024年,2024年1月,局内--中低价值外显资源,1,橙品（S/SP）背包,
新角色,2024 新年节点,1,日产出道具11，20兑换,英雄,其他,活跃,2024/01/24,2024/02/01,,,永久,0,image.png,2024年年1季度,2024年,2024年1月,,1,其他英雄,
蓝品造型抽奖宝箱,2024 新年节点,1,玩1场,皮肤抽奖宝箱,其他,活跃,2024/01/24,2024/02/01,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他皮肤抽奖宝箱,
橙品钻石抽奖宝箱（保底可开出50钻石）,2024 新年节点,1,累充50钻石,钻石抽奖盒,其他,付费,2024/01/24,2024/02/06,,,永久,25,image.png,2024年年1季度,2024年,2024年1月,,1,其他钻石抽奖盒,
紫品角色造型抽奖宝箱,2024 新年节点,3,日产出道具11，5兑换,皮肤抽奖宝箱,其他,活跃,2024/01/24,2024/02/01,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他皮肤抽奖宝箱,
蓝品武器造型抽奖宝箱,2024 新年节点,3,日产出道具11，5兑换,武器抽奖宝箱,其他,活跃,2024/01/24,2024/02/01,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他武器抽奖宝箱,
枪皮金币宝箱,2024 新年节点,500,造成1000伤害,金币抽奖盒,其他,活跃,2024/01/24,2024/01/29,,,永久,0,image.png,2024年年1季度,2024年,2024年1月,,1,其他金币抽奖盒,
蓝品科目三角色动作,2024 新年节点,1,累充140钻石,动作,蓝品（A）,付费,2024/01/27,2024/02/03,,,永久,300,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,蓝品（A）动作,
限定抽奖券,2024 新年节点,1,"日产出道具：20
签到产出道具：40
活跃度：8/15
75兑换",（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/01/29,2024/02/13,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（橙色）常驻3合1抽奖池--抽奖券,
钻石抽奖券,2024 新年节点,1,"日产出道具：20
签到产出道具：40
活跃度：8/15
45兑换",（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/29,2024/02/13,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
双形态SP级造型,2024 新年节点,1,放回式抽奖，保底期望值需要100美金左右,角色完整皮肤,橙品（S/SP）,付费,2024/01/29,2024/02/13,,,永久,2000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）角色完整皮肤,
混沌主题枪皮,2024 新年节点,1,不放回式抽奖，含兑换保底，保底期望值需要90美金左右,枪械皮肤,橙品（S/SP）,付费,2024/01/29,2024/02/13,,,永久,2000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）枪械皮肤,
限定A+造型套装,2024 新年节点,1,"日产出道具：20
签到产出道具：40
活跃度：8/15
200兑换",角色完整皮肤,紫品（A+）,活跃,2024/01/29,2024/02/13,,,永久,1000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,紫品（A+）角色完整皮肤,
混沌主题A语音资源,2024 新年节点,1,"日产出道具：20
签到产出道具：40
活跃度：8/15
120兑换",语音包,蓝品（A）,活跃,2024/01/29,2024/02/13,,,永久,,image.png,2024年年1季度,2024年,2024年1月,局外社交外显资源,1,蓝品（A）语音包,
混沌主题A语音资源,2024 新年节点,1,"日产出道具：20
签到产出道具：40
活跃度：8/15
20兑换",语音包,蓝品（A）,活跃,2024/01/29,2024/02/13,,,永久,,image.png,2024年年1季度,2024年,2024年1月,局外社交外显资源,1,蓝品（A）语音包,
新角色A+资源角色造型套装,2024 新年节点,1,"日产出道具：15
活跃度：5/15
100兑换",角色完整皮肤,紫品（A+）,活跃,2024/01/29,2024/02/13,,,永久,1000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,紫品（A+）角色完整皮肤,
蓝品武器抽奖宝箱,2024 新年节点,1,"日产出道具：15
活跃度：5/15
15兑换",武器抽奖宝箱,其他,活跃,2024/01/29,2024/02/13,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他武器抽奖宝箱,
蓝品造型抽奖宝箱,2024 新年节点,1,"日产出道具：15
活跃度：5/15
15兑换",皮肤抽奖宝箱,其他,活跃,2024/01/29,2024/02/13,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他皮肤抽奖宝箱,
金币宝箱,2024 新年节点,2,"日产出道具：15
活跃度：5/15
1兑换",金币抽奖盒,其他,活跃,2024/01/29,2024/02/13,,,永久,0,image.png,2024年年1季度,2024年,2024年1月,,1,其他金币抽奖盒,
限定抽奖券,2024 新年节点,10,15场排位,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/02/01,2024/02/07,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
蓝品造型抽奖宝箱,2024 新年节点,1,1场排位,皮肤抽奖宝箱,其他,活跃,2024/02/01,2024/02/07,,,永久,40,image.png,2024年年1季度,2024年,2024年2月,盲盒类资源,2,其他皮肤抽奖宝箱,
紫品武器抽奖宝箱,2024 新年节点,2,5场排位,武器抽奖宝箱,其他,活跃,2024/02/01,2024/02/07,,,永久,40,image.png,2024年年1季度,2024年,2024年2月,盲盒类资源,2,其他武器抽奖宝箱,
钻石抽奖券,2024 新年节点,3,吃鸡1次,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/02/03,2024/02/05,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（蓝色）常驻抽奖池2--抽奖券,
限定抽奖券,2024 新年节点,5,累充50钻石,当期限时抽奖活动--抽奖券,其他,付费,2024/02/03,2024/02/10,,,限时,8,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他当期限时抽奖活动--抽奖券,
混沌主题S级背包造型资源,2024 新年节点,1,累充70钻石,背包,红品（S+）,付费,2024/02/03,2024/02/10,,,永久,500,image.png,2024年年1季度,2024年,2024年2月,局内--中低价值外显资源,2,红品（S+）背包,
载具造型,2024 新年节点,1,吃鸡3次,载具,紫品（A+）,活跃,2024/02/03,2024/02/05,,,永久,400,image.png,2024年年1季度,2024年,2024年2月,局内--中低价值外显资源,2,紫品（A+）载具,
兑换道具,2024 新年节点,25,吃鸡7次,（银色）常驻网页活动兑换币,其他,活跃,2024/02/03,2024/02/05,,,永久,,image.png,2024年年1季度,2024年,2024年2月,,2,其他（银色）常驻网页活动兑换币,
混沌主题枪皮,2024 新年节点,1,放回式抽奖，含兑换保底，保底期望值需要80美金左右,枪械皮肤,橙品（S/SP）,付费,2024/02/05,2024/02/17,,,永久,2000,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,橙品（S/SP）枪械皮肤,
A角色动作,2024 新年节点,1,"常规收集兑换
日产出道具：5蓝、1绿
活跃度：8/8
10蓝、1绿兑换",动作,蓝品（A）,活跃,2024/02/05,2024/02/12,,,永久,300,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,蓝品（A）动作,
A紫品角色套装造型抽奖宝箱资源,2024 新年节点,1,"常规收集兑换
日产出道具：5蓝、1绿
活跃度：8/8
3蓝兑换",皮肤抽奖宝箱,其他,活跃,2024/02/05,2024/02/12,,,永久,40,image.png,2024年年1季度,2024年,2024年2月,盲盒类资源,2,其他皮肤抽奖宝箱,
A蓝品枪皮抽奖宝箱资源,2024 新年节点,1,"常规收集兑换
日产出道具：5蓝、1绿
活跃度：8/8
3蓝兑换",武器抽奖宝箱,其他,活跃,2024/02/05,2024/02/12,,,永久,40,image.png,2024年年1季度,2024年,2024年2月,盲盒类资源,2,其他武器抽奖宝箱,
金币宝箱,2024 新年节点,2,"常规收集兑换
日产出道具：5蓝、1绿
活跃度：8/8
1蓝兑换",金币抽奖盒,其他,活跃,2024/02/05,2024/02/12,,,永久,0,image.png,2024年年1季度,2024年,2024年2月,,2,其他金币抽奖盒,
混沌主题动作,2024 新年节点,1,不放回式抽奖，含兑换保底，保底期望值需要50美金左右,动作,橙品（S/SP）,付费,2024/02/06,2024/02/13,,,永久,500,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,橙品（S/SP）动作,
S+枪支,2024 新年节点,1,复刻转盘，保底期望约150美金,枪械皮肤,红品（S+）,付费,2024/02/08,2024/02/16,,,永久,2400,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,红品（S+）枪械皮肤,
钻石抽奖券,2024 新年节点,3,移动2000,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/02/09,2024/02/12,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（蓝色）常驻抽奖池2--抽奖券,
武器抽奖券,2024 新年节点,3,移动5000,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/02/09,2024/02/12,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
钻石抽奖券,2024 新年节点,5,登录1天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/02/09,2024/02/12,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（蓝色）常驻抽奖池2--抽奖券,
紫品面饰,2024 新年节点,1,移动10000,角色皮肤散件,紫品（A+）,活跃,2024/02/09,2024/02/12,,,永久,400,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,紫品（A+）角色皮肤散件,
A级近战武器造型,2024 新年节点,1,累充70钻石,近战武器皮肤,紫品（A+）,付费,2024/02/10,2024/02/17,,,永久,400,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,紫品（A+）近战武器皮肤,
钻石,2024 新年节点,12,累充12钻石,钻石,其他,付费,2024/02/10,2024/02/17,,,永久,1,image.png,2024年年1季度,2024年,2024年2月,,2,其他钻石,
钻石,2024 新年节点,25,累充50钻石,钻石,其他,付费,2024/02/10,2024/02/17,,,永久,1,image.png,2024年年1季度,2024年,2024年2月,,2,其他钻石,
钻石抽奖券,2024 女团联动,5,登录1天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/02/12,2024/02/19,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（蓝色）常驻抽奖池2--抽奖券,
限定抽奖券,2024 女团联动,5,玩75min,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/02/12,2024/02/19,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
返场造型,2024 女团联动,1,抽折扣直售，打折前1000钻,角色完整皮肤,紫品（A+）,付费,2024/02/12,2024/02/26,,,永久,1000,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,紫品（A+）角色完整皮肤,
A级近战武器造型,2024 女团联动,1,累充140钻石,近战武器皮肤,紫品（A+）,付费,2024/02/12,2024/02/18,,,永久,400,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,紫品（A+）近战武器皮肤,
A+级限定女团联动造型套装,2024 女团联动,1,"每日任务*20
活跃度：10/15
5个兑换",角色完整皮肤,紫品（A+）,活跃,2024/02/12,2024/02/26,,,永久,1000,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,紫品（A+）角色完整皮肤,
女团大厅音乐,2024 女团联动,1,登录1天,大厅音乐,紫品（A+）,活跃,2024/02/12,2024/02/19,,,永久,0,image.png,2024年年1季度,2024年,2024年2月,局外社交外显资源,2,紫品（A+）大厅音乐,
蓝品造型抽奖宝箱,2024 女团联动,2,玩15min,皮肤抽奖宝箱,其他,活跃,2024/02/12,2024/02/19,,,永久,40,image.png,2024年年1季度,2024年,2024年2月,盲盒类资源,2,其他皮肤抽奖宝箱,
紫品造型抽奖宝箱,2024 女团联动,3,玩30min,皮肤抽奖宝箱,其他,活跃,2024/02/12,2024/02/19,,,永久,40,image.png,2024年年1季度,2024年,2024年2月,盲盒类资源,2,其他皮肤抽奖宝箱,
女团头像*9,2024 女团联动,9,"每日任务*20
活跃度：10/15
每个道具可以参与抽奖获得女团卡片，女团卡片可兑换女团指定成员头像框",头像,紫品（A+）,活跃,2024/02/12,2024/02/26,,,永久,0,image.png,2024年年1季度,2024年,2024年2月,局外社交外显资源,2,紫品（A+）头像,
钻石,2024 女团联动,25,累充50钻石,钻石,其他,付费,2024/02/12,2024/02/18,,,永久,1,image.png,2024年年1季度,2024年,2024年2月,,2,其他钻石,
SP角色动作,2024 女团联动,1,情人节主题放回式抽奖,动作,红品（S+）,付费,2024/02/14,2024/02/26,,,永久,1000,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,红品（S+）动作,
S+角色动作,2024 女团联动,1,情人节主题放回式抽奖,动作,红品（S+）,付费,2024/02/14,2024/02/26,,,永久,1000,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,红品（S+）动作,
情人节抽奖券,2024 女团联动,5,累充50钻石,当期限时抽奖活动--抽奖券,其他,付费,2024/02/17,2024/02/24,,,限时,8,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他当期限时抽奖活动--抽奖券,
武器抽奖券,2024 女团联动,5,累充70钻石,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2024/02/17,2024/02/24,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
钻石抽奖宝箱,2024 女团联动,3,累充140钻石,钻石抽奖盒,其他,付费,2024/02/17,2024/02/24,,,永久,25,image.png,2024年年1季度,2024年,2024年2月,,2,其他钻石抽奖盒,
钻石,2024 女团联动,12,累充12钻石,钻石,其他,付费,2024/02/17,2024/02/24,,,永久,1,image.png,2024年年1季度,2024年,2024年2月,,2,其他钻石,
限时抽奖券,2024 女团联动,1,3个代币,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2024/02/19,2024/03/01,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
武器抽奖券,2024 女团联动,1,2个代币,（蓝色）常驻抽奖池2--抽奖券,其他,付费,2024/02/19,2024/03/01,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（蓝色）常驻抽奖池2--抽奖券,
限时抽奖券,2024 女团联动,2,获得道具10，每天可获得15,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/02/19,2024/02/25,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
限时抽奖券,2024 女团联动,2,获得道具20，每天可获得15,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/02/19,2024/02/25,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
限时抽奖券,2024 女团联动,3,获得道具30，每天可获得15,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/02/19,2024/02/25,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
限时抽奖券,2024 女团联动,3,获得道具40，每天可获得15,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/02/19,2024/02/25,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
限时抽奖券,2024 女团联动,5,获得道具50，每天可获得15,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/02/19,2024/02/25,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（橙色）常驻3合1抽奖池--抽奖券,
